,en,es,fr,id,jp,th,vi,zh,tr
SummaryView,Group mode,Modo de grupo,Mode de groupe,Mode grup,グループ表示,โหมดกลุ่ม,Chế độ nhóm,群組模式,Grup modu
Sun,Sun,Dom,Dim,Min,日,ดวงอาทิตย์,Chủ Nhật,日,Güneş
SwitchCamera,Change lens,Cambiar lente,Changer la lentille,Ubah lensa,Change lens,เปลี่ยนเลนส์,Thay đổi ống kính,轉換鏡頭,Merceği değiştir
SynyMethodLocalTime,Sync with local time,Sincronizar con la hora local,Synchroniser avec l'heure locale,Sinkronkan dengan waktu setempat,ローカル時間と同期,ซิงค์กับเวลาท้องถิ่น,Đồng bộ hóa với giờ địa phương,與本地時間同步,Yerel saatle senkronize et
SynyMethodNtpServer,Sync with NTP server,Sincronizar con el servidor NTP,Synchroniser avec le serveur NTP,Sinkronisasi dengan server NTP,NTPサーバーと同期,ซิงค์กับเซิร์ฟเวอร์ NTP,Đồng bộ hóa với máy chủ NTP,與時間伺服器同步,NTP sunucusuyla senkronize et
SystemLog,System Log,Registro del sistema,Journal du système,Log Sistem,システムログ,บันทึกระบบ,Nhật ký hệ thống,系統日誌,Sistem Günlüğü
SystemSettings,System Settings,Ajustes del sistema,Les paramètres du système,Pengaturan sistem,システム設定,การตั้งค่าระบบ,Cài đặt hệ thống,系統設定,Sistem Ayarları
TabletDisplaySettings,Recognition Result Display Settings (Tablet),Configuración de visualización de resultados de reconocimiento (tableta),Paramètres d'affichage des résultats de reconnaissance (tablette),Pengaturan Tampilan Hasil Pengenalan (Tablet),認識結果表示設定（タブレット）,การตั้งค่าการรับรู้ผลการแสดงผล (แท็บเล็ต),Cài đặt hiển thị kết quả nhận dạng (Máy tính bảng),平板顯示設定,Tanıma Sonucu Görüntüleme Ayarları (Tablet)
TabletInterfaceLangurage,Tablet Interface Language,Idioma de Interfaz de Tableta,Langue d'interface de tablette,Bahasa Antarmuka Tablet,言語,ภาษาแท็บเล็ตอินเทอร์เฟซ,Ngôn ngữ giao diện máy tính bảng,平板介面語言,Tablet Arayüz Dili
TabletInterfaceLangurageList,Language,Idioma,Langue,Bahasa,言語,ภาษา,Ngôn ngữ,語言,Dil
TabletStepAccessControl,Access control settings,Configuración de control de acceso,Paramètres de contrôle d'accès,Pengaturan kontrol akses,アクセス制御設定,การตั้งค่าการควบคุมการเข้าถึง,Cài đặt kiểm soát truy cập,門禁設定,Erişim kontrol ayarları
TabletSystemPassword,Tablet Password,Contraseña de tableta,Mot de passe de tablette,Kata Sandi Tablet,パスワード,รหัสผ่านแท็บเล็ต,Mật khẩu máy tính bảng,平板管理密碼,Tablet Şifresi
Tablets,Tablets,Tabletas,Tablette,Tablet,タブレット,เม็ด,Máy tính bảng,平板,Tabletler
TabletsAccessCOlNameDuration,Duration (milliseconds),Duración (milisegundos),Durée (millisecondes),Durasi (milidetik),期間（ミリ秒）,ระยะเวลา (มิลลิวินาที),Thời lượng (mili giây),持續時間 (毫秒),Süre (milisaniye)
TabletsAccessCOlNameTwoFactor,Two-Factor Authentication (Requires Face and Card),Autenticación de dos factores (requiere cara y tarjeta),Authentification à deux facteurs (nécessite le visage et la carte),Otentikasi Dua Faktor (Membutuhkan Wajah dan Kartu),2要素認証（顔とカードが必要）,การรับรองความถูกต้องสองปัจจัย (ต้องใช้ใบหน้าและการ์ด),Xác thực hai yếu tố (Yêu cầu khuôn mặt và thẻ),雙因子認證（需要人臉和卡片）,İki Faktörlü Kimlik Doğrulama (Yüz ve Kart Gerektirir)
TabletsAccessClockSettingTitle,Time clock mode settings,Configuración del modo de reloj de tiempo,Paramètres du mode horloge,Pengaturan mode jam waktu,タイムクロックモードの設定,การตั้งค่าโหมดนาฬิกาเวลา,Cài đặt chế độ đồng hồ thời gian,打卡鐘模式設定,Zaman saati modu ayarları
TabletsAccessColNameClockFailMessageText,Clock-in Failure Message,Mensaje de falla de reloj,Message d'échec de l'horloge,Pesan Gagal Jam Masuk,クロックイン失敗メッセージ,ข้อความล้มเหลวนาฬิกา,Thông báo lỗi bấm giờ,打卡失敗顯示訊息,Giriş Başarısız Mesajı
TabletsAccessColNameClockIndicationFailText,Clock-in Failure Indicator Message,Mensaje del indicador de falla de reloj,Message de l'indicateur de défaillance de l'horloge,Pesan Indikator Gagal Jam Masuk,クロックイン障害インジケーターメッセージ,ข้อความตัวบ่งชี้ความล้มเหลวของนาฬิกา,Thông báo chỉ báo lỗi bấm giờ,打卡失敗指示,Giriş Arıza Göstergesi Mesajı
TabletsAccessColNameClockIndicationSuccessText,Successful Clock-in Indicator Message,Mensaje indicador de reloj exitoso,Message d'indicateur d'horloge réussi,Pesan Indikator Jam Masuk Sukses,成功したクロックインインジケーターメッセージ,ข้อความตัวบ่งชี้นาฬิกาที่ประสบความสำเร็จ,Thông báo chỉ báo bấm giờ vào thành công,打卡成功指示,Başarılı Giriş Göstergesi Mesajı
TabletsAccessColNameClockInfoData(Down),Clock-in Message 2 (Footer),Mensaje de reloj 2 (pie de página),Message d'horloge 2 (pied de page),Pesan Jam Masuk 2 (Footer),クロックインメッセージ2（フッター）,ข้อความนาฬิกา 2 (ส่วนท้าย),Tin nhắn bấm giờ 2 (Chân trang),打卡提示訊息 2 (Footer),Giriş Mesajı 2 (Altbilgi)
TabletsAccessColNameClockInfoData(Up),Clock-in Message 1 (Header),Mensaje de reloj 1 (encabezado),Message d'horloge 1 (en-tête),Pesan Jam Masuk 1 (Header),クロックインメッセージ1（ヘッダー）,ข้อความนาฬิกา 1 (ส่วนหัว),Tin nhắn bấm giờ 1 (Tiêu đề),打卡提示訊息 1 (Header),Giriş Mesajı 1 (Başlık)
TabletsAccessColNameClockInfoData3,Clock-in Message 3,Mensaje de reloj 3,Message d'horloge 3,Pesan Jam Masuk 3,クロックインメッセージ3,ข้อความนาฬิกา 3,Tin nhắn bấm giờ 3,打卡提示訊息 3,Giriş Mesajı 3
TabletsAccessColNameClockSuccessMessageText,Successful Clock-in Message,Mensaje de reloj exitoso,Message d'horloge réussi,Pesan Jam Masuk Sukses,成功したクロックインメッセージ,ข้อความนาฬิกาที่ประสบความสำเร็จ,Thông báo bấm giờ thành công,打卡成功顯示訊息,Başarılı Giriş Mesajı
TabletsAccessColNameDisplayName,Name display format,Formato de visualización de nombre,Format d'affichage de noms,Format tampilan nama,名前表示形式,รูปแบบการแสดงชื่อ,Dạng hiển thị tên,人名顯示方式,Ad görüntüleme biçimi
TabletsAccessColNameDisplayProfilePhoto,Display profile photo,Pantalla Foto de perfil,Afficher la photo du profil,Tampilkan foto profil,プロファイル写真を表示します,แสดงรูปโปรไฟล์,Hiển thị ảnh hồ sơ,顯示照片,Profil fotoğrafını görüntüle
TabletsAccessColNameDisplayVerifyDuration,Result display duration (milliseconds),Duración de la visualización de resultados (milisegundos),Durée d'affichage des résultats (millisecondes),Durasi tampilan hasil (milidetik),結果表示期間（ミリ秒）,ระยะเวลาแสดงผล (มิลลิวินาที),Thời lượng hiển thị kết quả (mili giây),結果顯示時長 (毫秒),Sonuç görüntüleme süresi (milisaniye)
TabletsAccessColNameEnableClockFunction1,Enable Clock-in Option 1,Habilitar la opción de reloj-in 1,Activer l'option d'horloge 1,Aktifkan Opsi Jam Masuk 1,クロックインオプション1を有効にします,เปิดใช้งานตัวเลือกนาฬิกาใน 1,Bật tùy chọn bấm giờ 1,啟用打卡選項1,Saat Girişi Seçeneğini Etkinleştir 1
TabletsAccessColNameEnableClockFunction2,Enable Clock-in Option 2,Habilitar la opción de reloj-in 2,Activer l'option de l'horloge 2,Aktifkan Opsi Jam Masuk 2,クロックインオプション2を有効にします,เปิดใช้งานตัวเลือกนาฬิกาใน 2,Bật tùy chọn bấm giờ 2,啟用打卡選項2,Saat Girişi Seçeneğini Etkinleştir 2
TabletsAccessColNameEnableClockFunction3,Enable Clock-in Option 3,Habilitar la opción 3,Activer l'option HORK-IN 3,Aktifkan Opsi Jam Masuk 3,クロックインオプション3を有効にします,เปิดใช้งานตัวเลือกนาฬิกาใน 3,Bật tùy chọn bấm giờ 3,啟用打卡選項3,Saat Girişi Seçeneğini Etkinleştir 3
TabletsAccessColNameEnableClockFunction4,Enable Clock-in Option 4,Habilitar la opción de reloj 4,Activer l'option 4 de l'horloge 4,Aktifkan Opsi Jam Masuk 4,クロックインオプション4を有効にします,เปิดใช้งานตัวเลือกนาฬิกาใน 4,Bật tùy chọn bấm giờ 4,啟用打卡選項4,Saat Girişi Seçeneği 4'ü Etkinleştir
TabletsAccessColNameEnableClockMode,Enable time clock mode,Habilitar el modo de reloj de tiempo,Activer le mode horloge de temps,Aktifkan mode jam waktu,タイムクロックモードを有効にします,เปิดใช้งานโหมดนาฬิกาเวลา,Bật chế độ đồng hồ thời gian,啟用打卡鐘模式,Zaman saati modunu etkinleştir
TabletsAccessColNameEnableRTSPCamera,Enable video output (RTSP),Habilitar la salida de video (RTSP),Activer la sortie vidéo (RTSP),Aktifkan output video (RTSP),ビデオ出力（RTSP）を有効にする,เปิดใช้งานเอาต์พุตวิดีโอ (RTSP),Bật đầu ra video (RTSP),啟用視訊輸出 (RTSP),Video çıkışını etkinleştir (RTSP)
TabletsAccessColNameEnforceFaceMaskCheck,Mandatory Face Mask Verification,Verificación obligatoria de máscara facial,Vérification obligatoire du masque de visage,Verifikasi Masker Wajah Wajib,必須のフェイスマスク検証,การตรวจสอบหน้ากากใบหน้าบังคับ,Xác minh khẩu trang bắt buộc,強制配戴口罩檢查,Zorunlu Yüz Maskesi Doğrulaması
TabletsAccessColNameFaceMasks,Face masks,Máscaras faciales,Masques faciaux,Masker wajah,フェイスマスク,มาสก์ใบหน้า,Khẩu trang,口罩,Yüz maskeleri
TabletsAccessColNameIpAddress,IP address,dirección IP,adresse IP,alamat IP,IPアドレス,ที่อยู่ IP,Địa chỉ IP,IP 位址,IP adresi
TabletsAccessColNameRTSPPassWord,Password,Contraseña,Mot de passe,Kata sandi,パスワード,รหัสผ่าน,Mật khẩu,密碼,Şifre
TabletsAccessColNameRTSPUserName,Username,Nombre de usuario,Nom d'utilisateur,Nama belakang,ユーザー名,ชื่อผู้ใช้,Tên tài khoản,帳號,Kullanıcı adı
TabletsAccessColNameShowVerifyResult,Show identification result,Mostrar resultado de identificación,Afficher le résultat d'identification,Tampilkan hasil identifikasi,識別結果を表示します,แสดงผลการระบุตัวตน,Hiển thị kết quả nhận dạng,顯示驗證結果,Kimlik sonucunu göster
TabletsAccessColNameShownProfilePhoto,Shown profile photo,Foto de perfil mostrado,Photo de profil affiché,Foto profil yang ditampilkan,表示されているプロフィール写真,แสดงรูปโปรไฟล์,Hiển thị ảnh hồ sơ,顯示照片,Gösterilen profil fotoğrafı
TabletsAccessColNameStrangerDisplayMessage,Greeting message,Mensaje de saludo,Message d'accueil,Pesan salam,挨拶メッセージ,ข้อความอวยพร,Tin nhắn chào,歡迎訊息,Selamlama mesajı
TabletsAccessColNameTemperatureUnit,Temperature unit,Unidad de temperatura,Unité de température,Satuan suhu,温度ユニット,อุณหภูมิ,Đơn vị nhiệt độ,溫度單位,Sıcaklık birimi
TabletsAccessColNameThreshold,Threshold,Límite,Seuil,Ambang batas,しきい値,เกณฑ์,Ngưỡng,溫度門檻值,Eşik
TabletsAccessColNameVerifyIndicationFailMessageText,Identification Failure Indicator Message,Mensaje del indicador de falla de identificación,Message de l'indicateur de défaillance d'identification,Pesan Indikator Gagal Identifikasi,識別障害インジケーターメッセージ,ข้อความตัวบ่งชี้ความล้มเหลวของการระบุตัวตน,Thông báo chỉ báo lỗi nhận dạng,驗證失敗指示,Tanımlama Hatası Gösterge Mesajı
TabletsAccessColNameVerifyIndicationFailText,Identification Failure Message,Mensaje de falla de identificación,Message d'échec d'identification,Pesan Gagal Identifikasi,識別障害メッセージ,ข้อความความล้มเหลวประจำตัว,Thông báo lỗi nhận dạng,驗證失敗顯示,Kimlik Hatası Mesajı
TabletsAccessColNameVerifyIndicationSuccessMessageText,Successful Identification Indicator Message,Mensaje indicador de identificación exitoso,Message d'indicateur d'identification réussi,Pesan Indikator Identifikasi Sukses,成功した識別インジケーターメッセージ,ข้อความบ่งชี้การระบุตัวตนที่ประสบความสำเร็จ,Thông báo chỉ báo nhận dạng thành công,驗證成功指示,Başarılı Tanımlama Gösterge Mesajı
TabletsAccessColNameVerifyIndicationSuccessText,Successful Identification Message,Mensaje de identificación exitoso,Message d'identification réussi,Pesan Identifikasi Sukses,成功した識別メッセージ,ข้อความระบุตัวตนที่ประสบความสำเร็จ,Thông báo nhận dạng thành công,驗證成功顯示,Başarılı Tanımlama Mesajı
TabletsAccessControlCOlNameAllowedPersonnelGroups,Personnel groups,Grupos de personal,Groupes de personnel,Grup personel,人事グループ,กลุ่มบุคลากร,Nhóm nhân sự,人員群組,Personel grupları
TabletsAccessControlEnableCardAccess,Enable card identification,Habilitar la identificación de la tarjeta,Activer l'identification de la carte,Aktifkan identifikasi kartu,カード識別を有効にします,เปิดใช้งานการระบุการ์ด,Kích hoạt nhận dạng thẻ,啟用卡片驗證,Kart tanımlamayı etkinleştir
TabletsAccessControlSupportWiegandBits,Card format,Formato de tarjeta,Format de carte,Format kartu,カード形式,รูปแบบการ์ด,Định dạng thẻ,卡片規格,Kart formatı
TabletsAccessControlTitleNameCardAccess,Card identification settings,Configuración de identificación de tarjeta,Paramètres d'identification de la carte,Pengaturan identifikasi kartu,カード識別設定,การตั้งค่าการระบุบัตร,Cài đặt nhận dạng thẻ,卡片驗證設定,Kart tanımlama ayarları
TabletsAccessDefaultClockInfoData3n,Please select the punch function,Seleccione la función de perforación,Veuillez sélectionner la fonction Punch,Silakan pilih fungsi tekan,パンチ関数を選択してください,โปรดเลือกฟังก์ชั่น Punch,Vui lòng chọn chức năng punch,請選擇打卡功能,Lütfen delme işlevini seçin
TabletsAccessDefaultClockInfoDataDown,Hello,Hola,Bonjour,Halo,こんにちは,สวัสดี,Xin chào,你好,Merhaba
TabletsAccessDefaultClockInfoDataUp,good day,buen día,bonne journée,kabar baik,良い一日,ขอให้เป็นวันที่ดี,Một ngày tốt lành,美好的一天,İyi günler
TabletsAccessDefaultClockSuccess,Please pass,Por favor pase,Veuillez passer,Silakan lewati,通行してください,กรุณาผ่าน,Làm ơn cho qua,請通行,Lütfen geçin
TabletsAccessDefaultClockText1,Clock In,Reloj en,S'accélérer,Jam Masuk,クロックイン,นาฬิกาใน,Bấm giờ vào,上班,Giriş Saati
TabletsAccessDefaultClockText2,Clock Out,Retirarse,S'allumer,Jam Keluar,クロックアウト,นาฬิกาออก,Bấm giờ ra,下班,Çıkış saati
TabletsAccessDefaultClockText3,Break Begins,Comienza la ruptura,La pause commence,Istirahat Mulai,休憩開始,เริ่มต้น,Bắt đầu nghỉ giải lao,休息開始,Mola Başlıyor
TabletsAccessDefaultClockText4,Break Ends,Desgarrar los extremos,Break se termine,Istirahat Selesai,ブレークエンド,หยุดพัก,Kết thúc nghỉ giải lao,休息結束,Mola Bitiyor
TabletsAccessDefaultClockText5,Please check in again,Por favor registre de nuevo,Veuillez vérifier à nouveau,Silakan check in lagi,もう一度チェックインしてください,กรุณาเช็คอินอีกครั้ง,Vui lòng kiểm tra lại,請重新打卡,Lütfen tekrar kontrol edin
TabletsAccessDefaultIdentifyF,Identification failed,Falló de identificación,Échec de l'identification,Identifikasi gagal,識別に失敗しました,การระบุตัวตนล้มเหลว,Nhận dạng không thành công,辨識失敗,Tanımlama başarısız oldu
TabletsAccessDefaultIdentifyFM,Please contact the service staff,Póngase en contacto con el personal de servicio,Veuillez contacter le personnel du service,Silakan menghubungi staf layanan,サービススタッフに連絡してください,กรุณาติดต่อเจ้าหน้าที่บริการ,Vui lòng liên hệ nhân viên phục vụ,請洽服務人員,Lütfen servis personeliyle iletişime geçin
TabletsAccessDefaultIdentifyS,Successful identification,Identificación exitosa,Identification réussie,Identifikasi sukses,成功した識別,บัตรประจำตัวที่ประสบความสำเร็จ,Nhận dạng thành công,辨識成功,Başarılı tanımlama
TabletsAccessDefaultIdentifySM,please pass,por favor pase,Veuillez passer,Silakan lewati,通行してください,กรุณาผ่าน,Vui lòng vượt qua,請通行,lütfen geç
TabletsAccessDefaultWelcome,Welcome,Bienvenido,Accueillir,Selamat datang,いらっしゃいませ,ยินดีต้อนรับ,Chào mừng,歡迎光臨,Hoş geldin
TabletsAccessName,Advanced settings,Ajustes avanzados,Réglages avancés,Pengaturan lanjutan,拡張設定,ตั้งค่าขั้นสูง,Cài đặt nâng cao,進階設定,Gelişmiş ayarlar
TabletsAccessSubTitleName,Temperature settings,Configuración de temperatura,Réglages de température,Pengaturan suhu,温度設定,การตั้งค่าอุณหภูมิ,Cài đặt nhiệt độ,溫度設定,Sıcaklık ayarları
TabletsAccessTitleNameRTSPSetting,Video Output (RTSP) Settings,Configuración de salida de video (RTSP),Paramètres de sortie vidéo (RTSP),Pengaturan Output Video (RTSP).,ビデオ出力（RTSP）設定,การตั้งค่าเอาท์พุทวิดีโอ (RTSP),Cài đặt đầu ra video (RTSP),視訊輸出 (RTSP) 設定,Video Çıkışı (RTSP) Ayarları
TabletsAccessTitleNameRelay,Relay,Relé,Relais,Relai,リレー,ถ่ายทอด,Lớp,繼電器,Röle
TabletsAccessTitleNameResultDisplay,Recognition result display settings,Configuración de visualización de resultados de reconocimiento,Paramètres d'affichage des résultats de reconnaissance,Pengaturan tampilan hasil pengenalan,認識結果表示設定,การตั้งค่าการรับรู้ผลการแสดงผล,Cài đặt hiển thị kết quả nhận dạng,辨識結果顯示設定,Tanıma sonucu görüntüleme ayarları
TabletsAccessTitleNameTemperatureMask,Temperature & mask settings,Configuración de temperatura y máscara,Paramètres de température et de masque,Pengaturan suhu & masker,温度とマスクの設定,การตั้งค่าอุณหภูมิและหน้ากาก,Cài đặt nhiệt độ và khẩu trang,溫度與口罩設定,Sıcaklık ve maske ayarları
TabletsBasicCOlNameDeviceGroups,Video device groups,Grupos de dispositivos de video,Groupes d'appareils vidéo,Grup perangkat video,ビデオデバイスグループ,กลุ่มอุปกรณ์วิดีโอ,Nhóm thiết bị video,影像設備群組,Video aygıt grupları
TabletsBasicCOlNameDeviceID,Enrollment ID,ID de inscripción,ID d'inscription,ID Pendaftaran,登録ID,รหัสการลงทะเบียน,ID đăng ký,註冊ID,Kayıt Kimliği
TabletsBasicCOlNameDeviceName,Device Name,Nombre del dispositivo,Nom de l'appareil,Nama perangkat,装置名,ชื่ออุปกรณ์,Tên thiết bị,設備名稱,Aygıt Adı
TabletsBasicCOlNameDeviceType,Device type,Tipo de dispositivo,Type d'appareil,Tipe perangkat,デバイスタイプ,ประเภทอุปกรณ์,Loại thiết bị,設備類型,Cihaz türü
TabletsBasicCOlNameFaceCaptureInternal,Face capture interval (milliseconds),Intervalo de captura de cara (milisegundos),Intervalle de capture du visage (millisecondes),Interval pengambilan wajah (milidetik),フェイスキャプチャ間隔（ミリ秒）,ช่วงเวลาการจับภาพใบหน้า (มิลลิวินาที),Khoảng thời gian chụp khuôn mặt (mili giây),人臉擷取間隔 (毫秒),Yüz yakalama aralığı (milisaniye)
TabletsBasicCOlNameFaceOverlapRatio,Face Overlap ratio (0~1),Relación de superposición de la cara (0 ~ 1),Ratio de chevauchement de la face (0 ~ 1),Rasio Tumpang Tindih Wajah (0~1),フェイスオーバーラップ比（0〜1）,อัตราส่วนซ้อนทับหน้า (0 ~ 1),Tỷ lệ chồng chéo khuôn mặt (0~1),人臉重疊比例 (0~1),Yüz Çakışma Oranı (0~1)
TabletsBasicCOlNameRecognitionThreshold,Face recognition score threshold (0~1),Umbral de puntaje de reconocimiento facial (0 ~ 1),Seuil de score de reconnaissance face (0 ~ 1),Ambang batas skor pengenalan wajah (0~1),顔認識スコアのしきい値（0〜1）,เกณฑ์คะแนนการจดจำใบหน้า (0 ~ 1),Ngưỡng điểm nhận dạng khuôn mặt (0~1),辨識分數閾值 (0~1),Yüz tanıma puanı eşiği (0~1)
TabletsBasicCOlNameRelayInternal,Duration (milliseconds),Duración (milisegundos),Durée (millisecondes),Durasi (milidetik),期間（ミリ秒）,ระยะเวลา (มิลลิวินาที),Thời lượng (mili giây),持續時間 (毫秒),Süre (milisaniye)
TabletsBasicCOlNameTargetFaceSizeLength,Minimum face size (0: umlimited),Tamaño mínimo de la cara (0: Umlimited),Taille minimale du visage (0: umlimited),Ukuran wajah minimum (0: unlimited),最小面は幅と高さです（0：無制限）,ขนาดใบหน้าขั้นต่ำ (0: umlimited),Kích thước khuôn mặt tối thiểu (0: umlimited),最小人臉寬高 (0:不限制),Minimum yüz boyutu (0: sınırsız)
TabletsBasicCOlNameTriggerRelay,Trigger relay (door open),Relé del gatillo (puerta abierta),Relais de déclenchement (porte ouverte),Trigger relai  (pintu terbuka),トリガーリレー（ドア解錠）,รีเลย์ทริกเกอร์ (เปิดประตู),Lớp kích hoạt (cửa mở),觸發繼電器 (開門),Tetik rölesi (kapı açık)
TabletsBasicName,Basic settings,Ajustes básicos,Paramètres de base,Pengaturan dasar,基本設定,การตั้งค่าพื้นฐาน,Cài đặt cơ bản,基本設定,Temel ayarlar
TabletsBasicTitleNameCardAccess,Card identification settings,Configuración de identificación de tarjeta,Paramètres d'identification de la carte,Pengaturan identifikasi kartu,カード識別設定,การตั้งค่าการระบุบัตร,Cài đặt nhận dạng thẻ,卡片驗證設定,Kart tanımlama ayarları
TabletsBasicTitleNameFaceAccess,Face recognition settings,Configuración de reconocimiento facial,Paramètres de reconnaissance du visage,Pengaturan pengenalan wajah,顔認識設定,การตั้งค่าการจดจำใบหน้า,Cài đặt nhận dạng khuôn mặt,人臉驗證設定,Yüz tanıma ayarları
TakePhoto,Take Photo,Tomar foto,Prendre une photo,Ambil foto,撮影,ถ่ายภาพ,Chụp hình,拍攝照片,Fotoğraf Çek
TelegramNotify,Telegram Notification,Notificación de Telegram,Notification de télégramme,Pemberitahuan Telegram,テレグラム通知,การแจ้งเตือนทางโทรเลข,Thông báo Telegram,Telegram 通知,Telgraf Bildirimi
Temperature,Temperature,Temperatura,Température,Suhu,温度,อุณหภูมิ,Nhiệt độ,體溫,Sıcaklık
TemperatureDisplayingUnit,Temperature Unit,Unidad de temperatura,Unité de température,Satuan suhu,温度単位,อุณหภูมิ,Đơn vị nhiệt độ,溫度顯示單位,Sıcaklık Birimi
TemperatureTriggerRule,Temperature Trigger Rules,Reglas de activación de temperatura,Règles de déclenchement de la température,Aturan Trigger Suhu,温度トリガールール,กฎทริกเกอร์อุณหภูมิ,Quy tắc kích hoạt nhiệt độ,溫度觸發條件,Sıcaklık Tetikleme Kuralları
Template,Download Template,Plantilla de descarga,Télécharger le modèle,Download Model,テンプレートをダウンロード,ดาวน์โหลดเทมเพลต,Tải xuống mẫu,下載範本,Şablonu İndir
TextColor,Text Color,Color de texto,Couleur de texte,Teks Warna,テキストの色,สีข้อความ,Màu chữ,文字顏色,Metin Rengi
ThisMonth,This Month,Este mes,Ce mois-ci,Bulan ini,今月,เดือนนี้,Tháng này,本月,Bu Ay
Thu,Thu,Jue,Jeu,Kam,木,พรี,Thứ năm,四,Per
Time,TIME,TIEMPO,TEMPS,WAKTU,時間,เวลา,THỜI GIAN,時間,ZAMAN
TimeRange,Time range,Intervalo de tiempo,Intervalle de temps,Rentang waktu,時間範囲,ช่วงเวลา,Phạm vi thời gian,搜尋時段,Zaman aralığı
TimeSettings,Time Settings,Configuración de Hora,Paramètres de temps,Pengaturan Waktu,時間設定,การตั้งค่าเวลา,Cài đặt thời gian,時間設置,Zaman Ayarları
Timezone,Time Zone,Zona horaria,Fuseau horaire,Zona Waktu,タイムゾーン,เขตเวลา,Múi giờ,時區,Zaman Dilimi
TitleActivateLicense,License activation,Activación de la licencia,Activation de licence,Aktivasi lisensi,ライセンスのアクティブ化,การเปิดใช้งานใบอนุญาต,Kích hoạt giấy phép,授權啟用,Lisans aktivasyonu
TitleIOBox,IO Box,IO Box,IO Box,Boks IO,IOボックス,กล่อง io,Hộp IO,輸入/輸出接點裝置,G/Ç Kutusu
TitleLicenses,Activated licenses,Licencias activadas,Licences activées,Lisensi yang diaktivasi,アクティブ化されたライセンス,ใบอนุญาตเปิดใช้งาน,Giấy phép đã kích hoạt,已啟用的授權,Aktifleştirilmiş lisanslar
TitleWiegandConverter,Wiegand Converter,Convertidor de wiegand,Convertisseur Wiegand,Konverter Wiegand,Wiegand Converter,Wiegand Converter,Bộ chuyển đổi Wiegand,韋根轉換器,Wiegand Dönüştürücü
Today,Today,Hoy,Aujourd'hui,Hari ini,今日,วันนี้,Hôm nay,今日,Bugün
TopMessage,Message On Top,Mensaje en la parte superior,Message sur le dessus,Pesan Di Atas,上のメッセージ,ข้อความด้านบน,Tin nhắn ở trên cùng,上部資訊,Üstteki Mesaj
TotalRecords,Total Records,Total de registros,Records totaux,Jumlah Catatan,履歴合計,บันทึกทั้งหมด,Tổng số hồ sơ,總筆數,Toplam Kayıtlar
TrialDays,Validaty (days),Validaty (días),Validaty (jours),Validitas (hari),validaty（日）,ถูกต้อง (วัน),Hiệu lực (ngày),有效期 (天),Geçerlilik (gün)
Tue,Tue,Mar,Mar,Sel,火,อ.,Thứ ba,二,Salı
TurnsIpCamera,Video Output (RTSP),Salida de video (RTSP),Flux vidéo (RTSP),Output Video (RTSP),ビデオ出力（RTSP）,เอาต์พุตวิดีโอ (RTSP),Đầu ra video (RTSP),影像輸出 (RTSP),Video Çıkışı (RTSP)
Unidentified,Cannot be identified,No se puede identificar,Ne peut pas être identifié,Tidak dapat diidentifikasi,不十分です,ไม่สามารถระบุได้,Không thể xác định được,無法辨識,Tanımlanamıyor
UnitPerson,Person,Persona,Personne,Orang,人,บุคคล,Người,人,Kişi
UnverifiedIndication,Recognition failure prompt,Información de falla de reconocimiento,Invite de défaillance de reconnaissance,Prompt Pengenalan Gagal,認識失敗プロンプト,พรอมต์การรับรู้ล้มเหลว,Dấu nhắc lỗi nhận dạng,辨識失敗提示,Tanıma başarısızlığı istemi
UpgradeSoftware,Upgrade Software,Software de actualización,MAJ progiciel,Upgrade Software,アップグレード,อัพเกรดซอฟต์แวร์,Nâng cấp phần mềm,軟體更新,Yazılımı Yükselt
Upload,Upload,Subir,Télécharger,Upload,アップロード,ที่อัพโหลด,Tải lên,上傳,Yüklemek
UploadFile,Upload File,Subir archivo,Téléverser un fichier,Upload File,アップロードファイル,อัปโหลดไฟล์,Cập nhật dữ liệu,上傳照片,Dosya Yükle
UseWebCamPhoto,Use Photo,Usar foto,Utiliser la photo,Gunakan Foto,写真,ใช้รูปภาพ,Sử dụng ảnh,使用照片,Fotoğrafı Kullan
Username,Username,Nombre de usuario,Nom d'utilisateur,Nama pengguna,ユーザー名,ชื่อผู้ใช้,Tên tài khoản,帳號,Kullanıcı adı
UsernameorPasswordError,Incorrect account or password,Cuenta o contraseña incorrecta,Compte ou mot de passe incorrect,Akun atau kata sandi salah,アカウントまたはパスワードが間違っています,บัญชีหรือรหัสผ่านไม่ถูกต้อง,Tài khoản hoặc mật khẩu không chính xác,帳號或密碼錯誤,Yanlış hesap veya şifre
ValidPeriod,Valid Period,Periodo válido,Période de validité,Waktu berlaku,有効期間,ระยะเวลาที่ถูกต้อง,Thời hạn hiệu lực,有效時段,Geçerlilik Süresi
VerifiedDateTime,Verified Date Time,Verificado Fecha Hora,Date et heure vérifiées,Tanggal Waktu Terverifikasi,検出日期時間,วันที่และเวลาที่ยืนยันแล้ว,Ngày giờ được xác minh,識別日期時間,Doğrulanmış Tarih Saat
VerifiedDuration,Verified Data Retention (day),Retención de datos verificados (días),Conservation des données vérifiées (jour),Retensi Data Terverifikasi (hari),検証済みデータ保持 (日),การเก็บรักษาข้อมูลที่ตรวจสอบแล้ว (วัน),Lưu giữ dữ liệu đã được xác minh (ngày),人員資料保存時長 (天),Doğrulanmış Veri Saklama (gün)
